timestamp,cow_part,ambient_temp,humidity,mean_temp,max_temp,frame_std,sample_folder
2025-12-30_15-12-25,leg,17.9,81.8,24.88,25.99,3.62,leg_3
2025-12-30_15-12-37,leg,17.9,82.4,25.04,26.45,3.69,leg_4
2025-12-30_15-12-50,leg,17.9,81.5,24.63,25.91,3.56,leg_5
2025-12-30_15-13-08,leg,17.9,81.0,24.62,25.9,3.4,leg_6
2025-12-30_15-13-21,leg,17.8,80.4,24.73,26.5,3.43,leg_7
2025-12-30_15-13-36,leg,17.6,81.4,25.01,26.3,3.38,leg_8
2025-12-30_15-13-49,leg,17.6,81.4,24.42,25.74,3.51,leg_9
2025-12-30_14-57-42,udder,17.4,84.2,25.79,26.82,2.62,udder_1
2025-12-30_15-18-30,udder,17.8,83.3,28.97,33.58,3.84,udder_10
2025-12-30_15-18-42,udder,17.8,83.7,28.77,33.5,3.83,udder_11
2025-12-30_15-18-54,udder,17.8,83.7,28.83,33.58,4.19,udder_12
2025-12-30_15-19-06,udder,17.8,83.7,28.02,32.8,3.81,udder_13
2025-12-30_15-19-20,udder,17.8,83.7,28.4,31.66,4.21,udder_14
2025-12-30_15-19-33,udder,17.9,82.5,28.73,33.33,3.77,udder_15
2025-12-30_15-19-45,udder,17.9,83.0,26.83,30.7,3.27,udder_16
2025-12-30_15-19-59,udder,17.9,83.0,26.6,31.67,4.38,udder_17
2025-12-30_15-20-11,udder,17.9,83.6,26.9,29.07,3.77,udder_18
2025-12-30_15-20-24,udder,17.9,82.0,27.77,31.78,4.34,udder_19
2025-12-30_15-16-42,udder,17.8,81.4,28.65,32.92,4.57,udder_2
2025-12-30_15-20-36,udder,17.8,82.3,27.76,32.05,4.21,udder_20
2025-12-30_15-21-15,udder,17.8,85.2,27.38,31.13,3.25,udder_21
2025-12-30_15-21-28,udder,17.8,83.7,27.25,29.01,3.93,udder_22
2025-12-30_15-21-40,udder,17.7,83.5,27.18,30.54,4.03,udder_23
2025-12-30_15-21-52,udder,17.6,81.8,27.47,29.06,3.65,udder_24
2025-12-30_15-22-04,udder,17.6,82.5,25.39,26.37,2.48,udder_25
2025-12-30_15-16-55,udder,17.8,81.7,28.73,33.19,4.66,udder_3
2025-12-30_15-17-07,udder,17.8,82.1,27.93,30.99,4.1,udder_4
2025-12-30_15-17-20,udder,17.8,81.1,31.51,34.35,4.69,udder_5
2025-12-30_15-17-37,udder,17.8,81.2,27.98,32.65,4.72,udder_6
2025-12-30_15-17-54,udder,17.8,81.2,28.08,32.26,3.39,udder_7
2025-12-30_15-18-06,udder,17.8,83.0,28.35,31.96,3.53,udder_8
2025-12-30_15-18-18,udder,17.8,83.5,28.99,33.06,3.72,udder_9
